JobTitle,BasePay,OvertimePay,OtherPay,Benefits,TotalPay,TotalPay&Benefits,Year,Agency
Safekey Site Assistant,5447.5,0,0,0,5447.5,5447.5,2015,Las Vegas
Safekey Site Assistant,5435,0,0,0,5435,5435,2015,Las Vegas
Maintenance Worker,3619.68,0,0,1811.29,3619.68,5430.97,2015,Las Vegas
Safekey Site Assistant,5430,0,0,0,5430,5430,2015,Las Vegas
Safekey Site Assistant,5420.25,0,0,0,5420.25,5420.25,2015,Las Vegas
Safekey Site Assistant,5420,0,0,0,5420,5420,2015,Las Vegas
Instructor  3,5410.2,0,0,0,5410.2,5410.2,2015,Las Vegas
Instructor  4,5391.33,0,0,0,5391.33,5391.33,2015,Las Vegas
Safekey Site Assistant,5390,0,0,0,5390,5390,2015,Las Vegas
Safekey Site Leader,5387,0,0,0,5387,5387,2015,Las Vegas
Assistant,5371.25,0,0,0,5371.25,5371.25,2015,Las Vegas
Safekey Site Assistant,5365,0,0,0,5365,5365,2015,Las Vegas
Front Desk/Cashier,5363.63,0,0,0,5363.63,5363.63,2015,Las Vegas
Instructor  3,5360,0,0,0,5360,5360,2015,Las Vegas
Safekey Site Leader,5289,0,0,0,5289,5289,2015,Las Vegas
Safekey Site Assistant,5262.5,0,0,0,5262.5,5262.5,2015,Las Vegas
Safekey Site Assistant,5257.5,0,0,0,5257.5,5257.5,2015,Las Vegas
Safekey Site Assistant,5252.5,0,0,0,5252.5,5252.5,2015,Las Vegas
Monitor,5240,0,0,0,5240,5240,2015,Las Vegas
Instructor  1,5225.28,10.02,0,0,5235.3,5235.3,2015,Las Vegas
Instructor  2,5222.36,0,0,0,5222.36,5222.36,2015,Las Vegas
Safekey Site Assistant,5212.5,0,0,0,5212.5,5212.5,2015,Las Vegas
Safekey Site Leader,5211,0,0,0,5211,5211,2015,Las Vegas
Sr Assistant,4672.5,535.52,0,0,5208.02,5208.02,2015,Las Vegas
Safekey Site Leader,5190,0,0,0,5190,5190,2015,Las Vegas
Front Desk/Cashier,5184,0,0,0,5184,5184,2015,Las Vegas
Lifeguard (X),5179.5,0,0,0,5179.5,5179.5,2015,Las Vegas
Pool  Manager,5164.25,0,0,0,5164.25,5164.25,2015,Las Vegas
Lifeguard/WSI (X),5017,134.63,0,0,5151.63,5151.63,2015,Las Vegas
Safekey Site Assistant,5120,0,0,0,5120,5120,2015,Las Vegas
Instructor  3,5120,0,0,0,5120,5120,2015,Las Vegas
Safekey Site Assistant,5112.5,0,0,0,5112.5,5112.5,2015,Las Vegas
Instructor  2,5112,0,0,0,5112,5112,2015,Las Vegas
Safekey Site Assistant,5083.89,0,0,0,5083.89,5083.89,2015,Las Vegas
Safekey Site Assistant,5065.06,0,0,0,5065.06,5065.06,2015,Las Vegas
Assistant,5049.5,0,0,0,5049.5,5049.5,2015,Las Vegas
Sr GIS Analyst,3367.75,0,0,1663.7,3367.75,5031.45,2015,Las Vegas
Safekey Site Assistant,5030,0,0,0,5030,5030,2015,Las Vegas
Safekey Site Leader,5021,0,0,0,5021,5021,2015,Las Vegas
Safekey Site Assistant,5005,0,0,0,5005,5005,2015,Las Vegas
Safekey Site Assistant,4990,0,0,0,4990,4990,2015,Las Vegas
Front Desk/Cashier,4957,0,0,0,4957,4957,2015,Las Vegas
Assistant,4927.5,0,0,0,4927.5,4927.5,2015,Las Vegas
Instructor  3,4907.7,0,0,0,4907.7,4907.7,2015,Las Vegas
Instructor  3,4904.41,0,0,0,4904.41,4904.41,2015,Las Vegas
Safekey Site Assistant,4902.5,0,0,0,4902.5,4902.5,2015,Las Vegas
Safekey Site Assistant,4900,0,0,0,4900,4900,2015,Las Vegas
Professional,4900,0,0,0,4900,4900,2015,Las Vegas
Front Desk/Cashier,4895,0,0,0,4895,4895,2015,Las Vegas
Safekey Site Assistant,4892.5,0,0,0,4892.5,4892.5,2015,Las Vegas
Safekey Site Assistant,4881.25,0,0,0,4881.25,4881.25,2015,Las Vegas
Laborer  1,4872,0,0,0,4872,4872,2015,Las Vegas
House Arrest Officer,3948,0,0,908.46,3948,4856.46,2015,Las Vegas
Safekey Site Leader,4848,0,0,0,4848,4848,2015,Las Vegas
Safekey Site Leader,5160,0,0,-312.86,5160,4847.14,2015,Las Vegas
Instructor  2,4829,0,0,0,4829,4829,2015,Las Vegas
Safekey Site Assistant,4827.5,0,0,0,4827.5,4827.5,2015,Las Vegas
Safekey Site Assistant,4822.5,0,0,0,4822.5,4822.5,2015,Las Vegas
Front Desk/Cashier,4818.88,0,0,0,4818.88,4818.88,2015,Las Vegas
Sr Professional,4803.5,0,0,0,4803.5,4803.5,2015,Las Vegas
Instructor  2,4787.5,0,0,0,4787.5,4787.5,2015,Las Vegas
Lifeguard (X),4659.75,0,125,0,4784.75,4784.75,2015,Las Vegas
Sr Assistant,4716.54,0,0,0,4716.54,4716.54,2015,Las Vegas
Safekey Site Leader,4716,0,0,0,4716,4716,2015,Las Vegas
Safekey Site Assistant,4702.5,0,0,0,4702.5,4702.5,2015,Las Vegas
Safekey Site Assistant,4655,0,0,0,4655,4655,2015,Las Vegas
Customer Service Representative,3364.2,0,0,1271.28,3364.2,4635.48,2015,Las Vegas
Assistant,4627.89,0,0,0,4627.89,4627.89,2015,Las Vegas
Safekey Site Assistant,4627.5,0,0,0,4627.5,4627.5,2015,Las Vegas
Instructor  3,4602.5,0,0,0,4602.5,4602.5,2015,Las Vegas
Safekey Site Assistant,4600,0,0,0,4600,4600,2015,Las Vegas
Safekey Site Assistant,4593.9,0,0,0,4593.9,4593.9,2015,Las Vegas
Monitor,4581.5,0,0,0,4581.5,4581.5,2015,Las Vegas
Technician/Specialist,4070,510,0,0,4580,4580,2015,Las Vegas
Front Desk/Cashier,4574.63,0,0,0,4574.63,4574.63,2015,Las Vegas
Safekey Site Assistant,4560,0,0,0,4560,4560,2015,Las Vegas
Lifeguard (X),4414.5,128.25,0,0,4542.75,4542.75,2015,Las Vegas
Assistant,4533.75,0,0,0,4533.75,4533.75,2015,Las Vegas
Instructor  1,4528,0,0,0,4528,4528,2015,Las Vegas
Instructor  3,4525.2,0,0,0,4525.2,4525.2,2015,Las Vegas
Safekey Site Leader,4512,0,0,0,4512,4512,2015,Las Vegas
Safekey Site Assistant,4507.5,0,0,0,4507.5,4507.5,2015,Las Vegas
Safekey Site Assistant,4505,0,0,0,4505,4505,2015,Las Vegas
Instructor  1,4495.5,0,0,0,4495.5,4495.5,2015,Las Vegas
Safekey Site Assistant,4495,0,0,0,4495,4495,2015,Las Vegas
Assistant,4492.14,0,0,0,4492.14,4492.14,2015,Las Vegas
Safekey Site Assistant,4452.5,0,0,0,4452.5,4452.5,2015,Las Vegas
Front Desk/Cashier,4441.25,0,0,0,4441.25,4441.25,2015,Las Vegas
Instructor  2,4430.4,0,0,0,4430.4,4430.4,2015,Las Vegas
Monitor,4427,0,0,0,4427,4427,2015,Las Vegas
Sr Assistant,4422,0,0,0,4422,4422,2015,Las Vegas
Safekey Site Assistant,4410,0,0,0,4410,4410,2015,Las Vegas
Safekey Site Assistant,4407.5,0,0,0,4407.5,4407.5,2015,Las Vegas
Firefighter Trainee,3068.7,0,0,1335.19,3068.7,4403.89,2015,Las Vegas
Firefighter Trainee,3068.7,0,0,1335.19,3068.7,4403.89,2015,Las Vegas
Front Desk/Cashier,4380.01,16.6,0,0,4396.61,4396.61,2015,Las Vegas
Safekey Site Assistant,4372.5,0,0,0,4372.5,4372.5,2015,Las Vegas
Safekey Site Assistant,4370,0,0,0,4370,4370,2015,Las Vegas
Safekey Site Assistant,4369.9,0,0,0,4369.9,4369.9,2015,Las Vegas
Safekey Site Assistant,4367.5,0,0,0,4367.5,4367.5,2015,Las Vegas
Instructor  1,4335.52,17.25,0,0,4352.77,4352.77,2015,Las Vegas
Lifeguard (X),4288.5,0,0,0,4288.5,4288.5,2015,Las Vegas
Monitor,4273.88,0,0,0,4273.88,4273.88,2015,Las Vegas
Lifeguard/WSI (X),4265.25,0,0,0,4265.25,4265.25,2015,Las Vegas
Safekey Site Assistant,4247.5,0,0,0,4247.5,4247.5,2015,Las Vegas
Safekey Site Assistant,4245,0,0,0,4245,4245,2015,Las Vegas
Safekey Site Assistant,4245,0,0,0,4245,4245,2015,Las Vegas
Site Leader 1,4213,0,0,0,4213,4213,2015,Las Vegas
Lifeguard (X),4189.5,0,0,0,4189.5,4189.5,2015,Las Vegas
Instructor  3,4185,0,0,0,4185,4185,2015,Las Vegas
Technician/Specialist,4180,0,0,0,4180,4180,2015,Las Vegas
Safekey Site Leader,4175,0,0,0,4175,4175,2015,Las Vegas
Safekey Site Assistant,4162.5,0,0,0,4162.5,4162.5,2015,Las Vegas
Safekey Site Leader,4158,0,0,0,4158,4158,2015,Las Vegas
Instructor  1,4155.75,0,0,0,4155.75,4155.75,2015,Las Vegas
Safekey Site Assistant,4147.5,0,0,0,4147.5,4147.5,2015,Las Vegas
Monitor,4137.41,0,0,0,4137.41,4137.41,2015,Las Vegas
Safekey Site Assistant,4135,0,0,0,4135,4135,2015,Las Vegas
Sr Assistant,4130.75,0,0,0,4130.75,4130.75,2015,Las Vegas
Instructor  2,4125.25,0,0,0,4125.25,4125.25,2015,Las Vegas
Monitor,4115.84,0,0,0,4115.84,4115.84,2015,Las Vegas
Safekey Site Assistant,4105,0,0,0,4105,4105,2015,Las Vegas
Safekey Site Assistant,4090,0,0,0,4090,4090,2015,Las Vegas
Safekey Site Assistant,4089.1,0,0,0,4089.1,4089.1,2015,Las Vegas
Safekey Site Assistant,4085,0,0,0,4085,4085,2015,Las Vegas
Sr Assistant,4073.3,0,0,0,4073.3,4073.3,2015,Las Vegas
Safekey Site Assistant,4040,0,0,0,4040,4040,2015,Las Vegas
Safekey Site Assistant,4030,0,0,0,4030,4030,2015,Las Vegas
Maintenance Worker,2928.64,0,0,1100.83,2928.64,4029.47,2015,Las Vegas
Safekey Site Assistant,4010,0,0,0,4010,4010,2015,Las Vegas
Safekey Site Assistant,3993,0,0,0,3993,3993,2015,Las Vegas
Safekey Site Assistant,3990,0,0,0,3990,3990,2015,Las Vegas
Safekey Site Assistant,3980,0,0,0,3980,3980,2015,Las Vegas
Lifeguard/WSI (X),3844.5,0,125,0,3969.5,3969.5,2015,Las Vegas
Sr Assistant,3960,0,0,0,3960,3960,2015,Las Vegas
Safekey Site Assistant,3957.5,0,0,0,3957.5,3957.5,2015,Las Vegas
Safekey Site Assistant,3942.5,0,0,0,3942.5,3942.5,2015,Las Vegas
Instructor  1,3941.63,0,0,0,3941.63,3941.63,2015,Las Vegas
Sr Assistant,3940,0,0,0,3940,3940,2015,Las Vegas
Safekey Site Assistant,3930,0,0,0,3930,3930,2015,Las Vegas
Safekey Site Assistant,3902.26,0,0,0,3902.26,3902.26,2015,Las Vegas
Monitor,3894,0,0,0,3894,3894,2015,Las Vegas
Safekey Site Assistant,3890,0,0,0,3890,3890,2015,Las Vegas
Safekey Site Assistant,3877.5,0,0,0,3877.5,3877.5,2015,Las Vegas
Safekey Site Assistant,3857.5,0,0,0,3857.5,3857.5,2015,Las Vegas
Lifeguard (X),3720.75,0,125,0,3845.75,3845.75,2015,Las Vegas
Safekey Site Assistant,3845,0,0,0,3845,3845,2015,Las Vegas
Safekey Site Assistant,3842.5,0,0,0,3842.5,3842.5,2015,Las Vegas
Laborer  2,3840,0,0,0,3840,3840,2015,Las Vegas
Safekey Site Assistant,3835,0,0,0,3835,3835,2015,Las Vegas
Sr Assistant,3829.5,0,0,0,3829.5,3829.5,2015,Las Vegas
Sr Assistant,3820,0,0,0,3820,3820,2015,Las Vegas
Safekey Site Assistant,3820,0,0,0,3820,3820,2015,Las Vegas
Lifeguard (X),3816,0,0,0,3816,3816,2015,Las Vegas
Sr Assistant,3809.61,0,0,0,3809.61,3809.61,2015,Las Vegas
Assistant,3795,0,0,0,3795,3795,2015,Las Vegas
Safekey Site Assistant,3785,0,0,0,3785,3785,2015,Las Vegas
Lifeguard/WSI (X),3654.75,0,125,0,3779.75,3779.75,2015,Las Vegas
Lifeguard (X),3750.75,0,0,0,3750.75,3750.75,2015,Las Vegas
Laborer  2,3744,0,0,0,3744,3744,2015,Las Vegas
Laborer  2,3744,0,0,0,3744,3744,2015,Las Vegas
Safekey Site Assistant,3742.5,0,0,0,3742.5,3742.5,2015,Las Vegas
Safekey Site Assistant,3742.5,0,0,0,3742.5,3742.5,2015,Las Vegas
Laborer  2,3738,0,0,0,3738,3738,2015,Las Vegas
Safekey Site Assistant,3727.5,0,0,0,3727.5,3727.5,2015,Las Vegas
Safekey Site Assistant,3722.5,0,0,0,3722.5,3722.5,2015,Las Vegas
Safekey Site Assistant,3717.5,0,0,0,3717.5,3717.5,2015,Las Vegas
Instructor  2,3710.46,0,0,0,3710.46,3710.46,2015,Las Vegas
Safekey Site Assistant,3697.5,0,0,0,3697.5,3697.5,2015,Las Vegas
Safekey Site Assistant,3685,0,0,0,3685,3685,2015,Las Vegas
Safekey Site Assistant,3670.4,0,0,0,3670.4,3670.4,2015,Las Vegas
Laborer  2,3648,0,0,0,3648,3648,2015,Las Vegas
Lifeguard/WSI (X),3521.61,0,125,0,3646.61,3646.61,2015,Las Vegas
Instructor  1,3642.43,0,0,0,3642.43,3642.43,2015,Las Vegas
Technician/Specialist,3640,0,0,0,3640,3640,2015,Las Vegas
Assistant,3635,0,0,0,3635,3635,2015,Las Vegas
Safekey Site Assistant,3620,0,0,0,3620,3620,2015,Las Vegas
Safekey Site Leader,3615,0,0,0,3615,3615,2015,Las Vegas
Lifeguard (X),3609,0,0,0,3609,3609,2015,Las Vegas
Safekey Site Assistant,3605,0,0,0,3605,3605,2015,Las Vegas
Safekey Site Assistant,3600,0,0,0,3600,3600,2015,Las Vegas
Instructor  1,3570,0,0,0,3570,3570,2015,Las Vegas
Safekey Site Assistant,3565,0,0,0,3565,3565,2015,Las Vegas
Monitor,3560,0,0,0,3560,3560,2015,Las Vegas
Safekey Site Assistant,3557.76,0,0,0,3557.76,3557.76,2015,Las Vegas
Laborer  2,3552,0,0,0,3552,3552,2015,Las Vegas
Laborer  2,3552,0,0,0,3552,3552,2015,Las Vegas
Firefighter/Paramedic (X),2480.31,0,0,1049.53,2480.31,3529.84,2015,Las Vegas
Monitor,3527.5,0,0,0,3527.5,3527.5,2015,Las Vegas
Sr Technician/Specialist,2800,0,0,721,2800,3521,2015,Las Vegas
Safekey Site Leader,3520,0,0,0,3520,3520,2015,Las Vegas
Assistant,3502,0,0,0,3502,3502,2015,Las Vegas
Lifeguard (X),3375,0,125,0,3500,3500,2015,Las Vegas
Safekey Site Assistant,3475,0,0,0,3475,3475,2015,Las Vegas
Safekey Site Assistant,3465,0,0,0,3465,3465,2015,Las Vegas
Special Assistant to Mayor/City Council,1004.76,0,1913.01,536.89,2917.77,3454.66,2015,Las Vegas
Front Desk/Cashier,3445,0,0,0,3445,3445,2015,Las Vegas
Safekey Site Assistant,3437.5,0,0,0,3437.5,3437.5,2015,Las Vegas
Instructor  3,3432.67,0,0,0,3432.67,3432.67,2015,Las Vegas
Safekey Site Assistant,3425,0,0,0,3425,3425,2015,Las Vegas
Front Desk/Cashier,3408.21,0,0,0,3408.21,3408.21,2015,Las Vegas
Safekey Site Assistant,3385,0,0,0,3385,3385,2015,Las Vegas
Assistant,3383,0,0,0,3383,3383,2015,Las Vegas
Sr Assistant,3381,0,0,0,3381,3381,2015,Las Vegas
Lifeguard (X),3380,0,0,0,3380,3380,2015,Las Vegas
Safekey Site Assistant,3365,0,0,0,3365,3365,2015,Las Vegas
Lifeguard/WSI (X),3360.5,0,0,0,3360.5,3360.5,2015,Las Vegas
Laborer  2,3360,0,0,0,3360,3360,2015,Las Vegas
Assistant,3352.5,0,0,0,3352.5,3352.5,2015,Las Vegas
Front Desk/Cashier,3341.36,0,0,0,3341.36,3341.36,2015,Las Vegas
Lifeguard (X),3332.25,0,0,0,3332.25,3332.25,2015,Las Vegas
Safekey Site Leader,3330,0,0,0,3330,3330,2015,Las Vegas
Instructor  2,2796,510,0,0,3306,3306,2015,Las Vegas
Safekey Site Assistant,3300,0,0,0,3300,3300,2015,Las Vegas
Sr Assistant,3294.5,0,0,0,3294.5,3294.5,2015,Las Vegas
Safekey Site Assistant,3277.5,0,0,0,3277.5,3277.5,2015,Las Vegas
Assistant,3275.26,0,0,0,3275.26,3275.26,2015,Las Vegas
Laborer  2,3264,0,0,0,3264,3264,2015,Las Vegas
Lifeguard (X),3261.5,0,0,0,3261.5,3261.5,2015,Las Vegas
Assistant,3260,0,0,0,3260,3260,2015,Las Vegas
Contracts Specialist,2537.44,0,0,710.48,2537.44,3247.92,2015,Las Vegas
Safekey Site Assistant,3241,0,0,0,3241,3241,2015,Las Vegas
Legal Technician II (X),2119.44,0,0,1108.22,2119.44,3227.66,2015,Las Vegas
Safekey Site Assistant,3220,0,0,0,3220,3220,2015,Las Vegas
Assistant,3217.66,0,0,0,3217.66,3217.66,2015,Las Vegas
Instructor  2,3211.35,0,0,0,3211.35,3211.35,2015,Las Vegas
Safekey Site Assistant,3196.01,0,0,0,3196.01,3196.01,2015,Las Vegas
Safekey Site Assistant,3185,0,0,0,3185,3185,2015,Las Vegas
Safekey Site Leader,3183,0,0,0,3183,3183,2015,Las Vegas
Instructor  2,3174,0,0,0,3174,3174,2015,Las Vegas
Lifeguard (X),3172.5,0,0,0,3172.5,3172.5,2015,Las Vegas
Lifeguard (X),3168,0,0,0,3168,3168,2015,Las Vegas
Assistant,3164.07,0,0,0,3164.07,3164.07,2015,Las Vegas
Safekey Site Assistant,3150,0,0,0,3150,3150,2015,Las Vegas
Court Specialist (X),3150,0,0,0,3150,3150,2015,Las Vegas
Assistant,3147.55,0,0,0,3147.55,3147.55,2015,Las Vegas
Lifeguard (X),3127.5,0,0,0,3127.5,3127.5,2015,Las Vegas
Front Desk/Cashier,3100.47,19.13,0,0,3119.6,3119.6,2015,Las Vegas
Safekey Site Assistant,3115,0,0,0,3115,3115,2015,Las Vegas
Front Desk/Cashier,3114,0,0,0,3114,3114,2015,Las Vegas
Lifeguard (X),3100.5,0,0,0,3100.5,3100.5,2015,Las Vegas
Instructor  1,3090,0,0,0,3090,3090,2015,Las Vegas
Assistant,3081.39,0,0,0,3081.39,3081.39,2015,Las Vegas
Lifeguard (X),3075.75,0,0,0,3075.75,3075.75,2015,Las Vegas
Assistant,3073.17,0,0,0,3073.17,3073.17,2015,Las Vegas
Laborer  2,3072,0,0,0,3072,3072,2015,Las Vegas
Safekey Site Assistant,3045,0,0,0,3045,3045,2015,Las Vegas
Instructor  1,3036.07,0.02,0,0,3036.09,3036.09,2015,Las Vegas
Safekey Site Assistant,3010,0,0,0,3010,3010,2015,Las Vegas
Safekey Site Assistant,3002.5,0,0,0,3002.5,3002.5,2015,Las Vegas
Instructor  1,2990.97,0,0,0,2990.97,2990.97,2015,Las Vegas
Assistant,2982,0,0,0,2982,2982,2015,Las Vegas
Safekey Site Leader,2979,0,0,0,2979,2979,2015,Las Vegas
Legal Technician II (X),2119.44,0,0,858.94,2119.44,2978.38,2015,Las Vegas
Laborer  2,2976,0,0,0,2976,2976,2015,Las Vegas
Parking Enforcement Officer,1731.27,89.97,302.58,844.69,2123.82,2968.51,2015,Las Vegas
Sr Assistant,2952,0,0,0,2952,2952,2015,Las Vegas
Safekey Site Assistant,2945,0,0,0,2945,2945,2015,Las Vegas
Assistant,2936.75,0,0,0,2936.75,2936.75,2015,Las Vegas
Sr Technician/Specialist,2935.5,0,0,0,2935.5,2935.5,2015,Las Vegas
Safekey Site Assistant,2935,0,0,0,2935,2935,2015,Las Vegas
Lifeguard (X),2930.99,0,0,0,2930.99,2930.99,2015,Las Vegas
Lifeguard (X),2805.75,0,125,0,2930.75,2930.75,2015,Las Vegas
Safekey Site Assistant,2917.5,0,0,0,2917.5,2917.5,2015,Las Vegas
Instructor  2,2910,0,0,0,2910,2910,2015,Las Vegas
Instructor  3,2910,0,0,0,2910,2910,2015,Las Vegas
Instructor  2,2900,0,0,0,2900,2900,2015,Las Vegas
Safekey Site Assistant,2895,0,0,0,2895,2895,2015,Las Vegas
Lifeguard/WSI (X),2868.85,25.32,0,0,2894.17,2894.17,2015,Las Vegas
Instructor  2,2886,0,0,0,2886,2886,2015,Las Vegas
Instructor  2,2880,0,0,0,2880,2880,2015,Las Vegas
Customer Service Representative,2875.27,0,0,0,2875.27,2875.27,2015,Las Vegas
Safekey Site Assistant,2870,0,0,0,2870,2870,2015,Las Vegas
Lifeguard (X),2862,0,0,0,2862,2862,2015,Las Vegas
Safekey Site Assistant,2855,0,0,0,2855,2855,2015,Las Vegas
Instructor  1,2840,0,0,0,2840,2840,2015,Las Vegas
Safekey Site Assistant,2825,0,0,0,2825,2825,2015,Las Vegas
Instructor  1,2812.5,0,0,0,2812.5,2812.5,2015,Las Vegas
Instructor  2,2808,0,0,0,2808,2808,2015,Las Vegas
Safekey Site Assistant,2800,0,0,0,2800,2800,2015,Las Vegas
Assistant,2791.77,0,0,0,2791.77,2791.77,2015,Las Vegas
Safekey Site Assistant,2780,0,0,0,2780,2780,2015,Las Vegas
Assistant,2767.88,0,0,0,2767.88,2767.88,2015,Las Vegas
Instructor  2,2760,0,0,0,2760,2760,2015,Las Vegas
Safekey Site Assistant,2749,0,0,0,2749,2749,2015,Las Vegas
Instructor  2,2740,0,0,0,2740,2740,2015,Las Vegas
Instructor  2,2717.78,0,0,0,2717.78,2717.78,2015,Las Vegas
Lifeguard (X),2711.25,0,0,0,2711.25,2711.25,2015,Las Vegas
Monitor,2704.29,0,0,0,2704.29,2704.29,2015,Las Vegas
Safekey Site Assistant,2700,0,0,0,2700,2700,2015,Las Vegas
Safekey Site Assistant,2685,0,0,0,2685,2685,2015,Las Vegas
Assistant,2656.25,0,0,0,2656.25,2656.25,2015,Las Vegas
Technician/Specialist,2640,0,0,0,2640,2640,2015,Las Vegas
Safekey Site Assistant,2637.5,0,0,0,2637.5,2637.5,2015,Las Vegas
Monitor,2600,0,0,0,2600,2600,2015,Las Vegas
Instructor  1,2600,0,0,0,2600,2600,2015,Las Vegas
Lifeguard (X),2574,0,0,0,2574,2574,2015,Las Vegas
Safekey Site Assistant,2570,0,0,0,2570,2570,2015,Las Vegas
Lifeguard (X),2569.5,0,0,0,2569.5,2569.5,2015,Las Vegas
Lifeguard (X),2443.5,0,125,0,2568.5,2568.5,2015,Las Vegas
Lifeguard (X),2565,0,0,0,2565,2565,2015,Las Vegas
Laborer  2,2556,0,0,0,2556,2556,2015,Las Vegas
Safekey Site Assistant,2552.5,0,0,0,2552.5,2552.5,2015,Las Vegas
Lifeguard (X),2551.5,0,0,0,2551.5,2551.5,2015,Las Vegas
Instructor  2,2548,0,0,0,2548,2548,2015,Las Vegas
Safekey Site Assistant,2547.5,0,0,0,2547.5,2547.5,2015,Las Vegas
Instructor  1,2536,0,0,0,2536,2536,2015,Las Vegas
Safekey Site Assistant,2530,0,0,0,2530,2530,2015,Las Vegas
Lifeguard (X),2396.25,0,125,0,2521.25,2521.25,2015,Las Vegas
Technician/Specialist,2520,0,0,0,2520,2520,2015,Las Vegas
Safekey Site Assistant,2517.5,0,0,0,2517.5,2517.5,2015,Las Vegas
Safekey Site Assistant,2510,0,0,0,2510,2510,2015,Las Vegas
Safekey Site Assistant,2502.5,0,0,0,2502.5,2502.5,2015,Las Vegas
Instructor  3,2490,0,0,0,2490,2490,2015,Las Vegas
Lifeguard (X),2362.5,0,125,0,2487.5,2487.5,2015,Las Vegas
Sr Accounting Technician,1940.27,0,0,543.28,1940.27,2483.55,2015,Las Vegas
Safekey Site Assistant,2475,0,0,0,2475,2475,2015,Las Vegas
Instructor  1,2470.5,0,0,0,2470.5,2470.5,2015,Las Vegas
Safekey Site Assistant,2452.5,0,0,0,2452.5,2452.5,2015,Las Vegas
Lifeguard (X),2322,0,125,0,2447,2447,2015,Las Vegas
Monitor,2400.89,0,0,0,2400.89,2400.89,2015,Las Vegas
Instructor  1,2400.79,0,0,0,2400.79,2400.79,2015,Las Vegas
Assistant,2397.5,0,0,0,2397.5,2397.5,2015,Las Vegas
Safekey Site Assistant,2387.5,0,0,0,2387.5,2387.5,2015,Las Vegas
Assistant,2380.14,0,0,0,2380.14,2380.14,2015,Las Vegas
Front Desk/Cashier,2380,0,0,0,2380,2380,2015,Las Vegas
Safekey Site Leader,2364,0,0,0,2364,2364,2015,Las Vegas
Safekey Site Assistant,2357.5,0,0,0,2357.5,2357.5,2015,Las Vegas
Preschool Site Administrator,2352,0,0,0,2352,2352,2015,Las Vegas
Safekey Site Assistant,2347.5,0,0,0,2347.5,2347.5,2015,Las Vegas
Assistant,2347.24,0,0,0,2347.24,2347.24,2015,Las Vegas
Safekey Site Assistant,2337.5,0,0,0,2337.5,2337.5,2015,Las Vegas
Safekey Site Assistant,2327.5,0,0,0,2327.5,2327.5,2015,Las Vegas
Assistant,2318.4,0,0,0,2318.4,2318.4,2015,Las Vegas
Safekey Site Assistant,2317.5,0,0,0,2317.5,2317.5,2015,Las Vegas
Instructor  2,2317.5,0,0,0,2317.5,2317.5,2015,Las Vegas
Lifeguard (X),2310.75,0,0,0,2310.75,2310.75,2015,Las Vegas
Instructor  1,2310,0,0,0,2310,2310,2015,Las Vegas
Customer Service Representative,2296.08,0,3.37,0,2299.45,2299.45,2015,Las Vegas
Preschool Instructor,2299,0,0,0,2299,2299,2015,Las Vegas
Lifeguard (X),2164.5,0,125,0,2289.5,2289.5,2015,Las Vegas
Instructor  2,2286,0,0,0,2286,2286,2015,Las Vegas
Front Desk/Cashier,2282.42,0,0,0,2282.42,2282.42,2015,Las Vegas
Assistant,2275,0,0,0,2275,2275,2015,Las Vegas
Safekey Site Assistant,2265,0,0,0,2265,2265,2015,Las Vegas
Safekey Site Assistant,2262.5,0,0,0,2262.5,2262.5,2015,Las Vegas
Lifeguard (X),2243.25,0,0,0,2243.25,2243.25,2015,Las Vegas
Fire Cadet,2229.5,0,0,0,2229.5,2229.5,2015,Las Vegas
Front Desk/Cashier,2218.5,0,0,0,2218.5,2218.5,2015,Las Vegas
Safekey Site Assistant,2205,0,0,0,2205,2205,2015,Las Vegas
Assistant,2202.8,0,0,0,2202.8,2202.8,2015,Las Vegas
Sr Assistant,2197.2,0,0,0,2197.2,2197.2,2015,Las Vegas
Safekey Site Assistant,2172.5,0,0,0,2172.5,2172.5,2015,Las Vegas
Safekey Site Assistant,2172.5,0,0,0,2172.5,2172.5,2015,Las Vegas
Safekey Site Assistant,2160,0,0,0,2160,2160,2015,Las Vegas
Assistant,2146.33,0,0,0,2146.33,2146.33,2015,Las Vegas
Instructor  4,2145,0,0,0,2145,2145,2015,Las Vegas
Technician/Specialist,2140,0,0,0,2140,2140,2015,Las Vegas
Technician/Specialist,2136.75,0,0,0,2136.75,2136.75,2015,Las Vegas
Safekey Site Assistant,2125,0,0,0,2125,2125,2015,Las Vegas
Instructor  4,2125,0,0,0,2125,2125,2015,Las Vegas
Instructor  2,2120,0,0,0,2120,2120,2015,Las Vegas
Sr Assistant,2112,0,0,0,2112,2112,2015,Las Vegas
Instructor  2,2108,0,0,0,2108,2108,2015,Las Vegas
Lifeguard (X),2103.75,0,0,0,2103.75,2103.75,2015,Las Vegas
Safekey Site Assistant,2097.5,0,0,0,2097.5,2097.5,2015,Las Vegas
Events Planner,1635.67,0,0,457.99,1635.67,2093.66,2015,Las Vegas
Instructor  2,2088,0,0,0,2088,2088,2015,Las Vegas
Front Desk/Cashier,2075,0,0,0,2075,2075,2015,Las Vegas
Lifeguard (X),2064.86,0,0,0,2064.86,2064.86,2015,Las Vegas
Instructor  2,2064,0,0,0,2064,2064,2015,Las Vegas
Monitor,2060,0,0,0,2060,2060,2015,Las Vegas
Lifeguard (X),1926,0,125,0,2051,2051,2015,Las Vegas
